MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
7,0,0.865325309,-0.041666667,3,0.339881855,24.96161606,2,24,0,0
8,0,0.664277071,0.194444444,11,0.189182284,26.24562714,3,24,0,0
5,0,1.0,0.0,0,-0.392305966,5.748930661,1,15,0,0
18,0,0.572393281,-0.119047619,0,1.408250556,37.23492564,3,20,0,0
3,0,0.590682075,-0.097222222,5,-0.032378281,15.89183368,3,24,0,0
4,0,0.777058724,0.25,11,0.602753793,35.81941939,1,24,0,0
1,0,0.379993694,0.0,0,0.868779321,15.81901389,1,9,0,0
0,0,1.0,0.0,0,1.366119942,29.49659141,1,15,0,0
36,2,0.642573567,0.041666667,2,0.5026237,39.09937179,2,20,2,0
0,0,0.811664396,-0.441176471,0,-0.436619746,7.251321902,2,17,0,0
3,0,0.650602315,-0.027777778,7,-0.180668895,15.46821533,3,24,0,0
1,0,1.0,0.0,0,0.042819744,18.85893534,1,23,0,0
2,0,0.873371682,0.0,0,0.024727813,21.53261619,2,23,0,0
9,0,0.855099533,0.0,1,0.046817932,30.69082123,1,24,0,0
6,0,0.448663565,-0.55952381,5,0.152077766,32.57749007,4,21,0,0
